City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,,,,h_place_id,h_category,h_col,h_word,h_name,h_address
BELAGAVI,29011213803,2015-16,CHANDRASHEKHAR MALLIKARJUN MAMANI HIGHSCHOOL (UNAIDED) SOUNDATTI,SOUNDATTI,SOUNDATTI NORTH,WARD NO 2,Karnataka,591126,,,,,,,,,
BELAGAVI,29011207701,2015-16,KANNADA HIGHER PRIMARY SCHOOL MUGALIHAL,SOUNDATTI,SATTIGERI,MUGALIHAL,Karnataka,591129,,,,ChIJu44-XyphvzsRrG9eqYhO5g0,C,City,belagavi,Bapuji Kannada Higher Primary school,"Reveave Colony Kanbargi Road, Belagavi, Karnataka 590017, India"
BELAGAVI,29011207702,2015-16,KANNADA LOWER PRIMARY SCHOOL MUGALEHALTOT MUGALIHAL,SOUNDATTI,SATTIGERI,MUGALIHAL,Karnataka,591129,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29011207703,2015-16,KANNADA LOWER PRIMARY SCHOOL BASAVANA GUDDI MUGALIHAL,SOUNDATTI,SATTIGERI,MUGALIHAL,Karnataka,591129,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29011207705,2015-16,GOVT HIGHSCHOOL MUGALIHAL,SOUNDATTI,SATTIGERI,MUGALIHAL,Karnataka,591129,,,,ChIJdypeDi5hvzsRYqmFpAp6LyE,C,City,belagavi,"Government Primary and High School, Vantamuri, Belagavi, Karnataka","Halbhavi Camp, Mahantesh Nagar, Belagavi, Karnataka 590017, India"
MYSURU,29260412401,2015-16,GOVERNMENT LOWER PRIMARY SCHOOL MUDALAKOPPALU,HUNSUR,HALEBEEDU,MUDALA KOPPALU,Karnataka,571103,,,,ChIJR8gTKe-GpTsRWZ6zS2kIJ3c,B,Pincode,571103,Government Lower Primary School,"Mangalore - Mysore Hwy, Mysore, Karnataka 571103, India"
MYSURU,29260312905,2015-16,JSS HIGH SCHOOL  METIKUPPE,H.D.KOTE,H.D.KOTE,METIKUPPE,Karnataka,571114,,,,ChIJ6YgSSQ9wrzsRIba4hWXUbgk,C,City,mysuru,JSS High School,"Ramanuja Rd, Mysuru, 570004, India"
MYSURU,29260703502,2015-16,ROTARY BRUNDAVANA SCHOOL,MYSORE NORTH,HEBBAL,WARD-30,Karnataka,570020,,,,,,,,,
MYSURU,29261004703,2015-16,GOVT HIGH SCHOOL CHANNAKAL,PERIYA PATNA,BENAGALU,CHANNAKAL,Karnataka,571102,,,,ChIJxdUQWaV7rzsR2k0pfcjBx-s,C,City,mysuru,Hootagalli Government High School,"K.R.S road, K.R.S road, K R S Road, Hootagalli, Mysuru, Karnataka 570018, India"
BELAGAVI,29010200201,2015-16,K.H.P.S. AMATUR,BAILHONGAL,ANIGOL,AMATUR,Karnataka,591102,,,,,,,,,
BELAGAVI,29010200202,2015-16,GOVT HIGHSCHOOL AMATUR,BAILHONGAL,ANIGOL,AMATUR,Karnataka,591102,,,,ChIJzUgROQhbvzsRORgy_yA9oQo,B,Pincode,591102,Hannikeri Government High School,"Belagavi, Karnataka 591102, India"
BELAGAVI,29010200301,2015-16,K.L.P.S. AMARAPUR,BAILHONGAL,M.K.HUBLI,AMARAPUR,Karnataka,591118,,,,,,,,,
BELAGAVI,29010200401,2015-16,K.H.P.S. AVARADI,BAILHONGAL,KALBHAVI,AVARADI,Karnataka,591115,,,,,,,,,
MYSURU,29260820801,2015-16,GOVERNMENT LOWER PRIMARY SCHOOL SRINIVASAPURA,MYSORE RURAL,VARUNA,SRINIVASAPURA,Karnataka,570010,,,,ChIJYaDeUydtrzsRdGFTiEB4gc0,B,Pincode,570010,Government Lower Primary School,"212, T Narsipura Rd, Netaji Nagar, Mysore, Karnataka 570010, India"
MYSURU,29261015607,2015-16,GOVT HIGHER PRIMARY SCHOOL BETTADA PURA,PERIYA PATNA,BETTADA PURA,BETTADA PURA,Karnataka,571102,,,,ChIJ_4nYYVVlrzsRUF3PZ-MLxh4,C,City,mysuru,Govt Higher Primary School,"Near Aravindnagar Main Road, Arvindnagar, Mysuru, Karnataka 570023, India"
MYSURU,29261015608,2015-16,SARVODAYA CONVENT,PERIYA PATNA,BETTADA PURA,BETTADA PURA,Karnataka,571102,,,,,,,,,
MYSURU,29261019501,2015-16,GOVT LOWER PRIMARY SCHOOL NEELANGALA,PERIYA PATNA,RAVANDUR,NEELANGALA,Karnataka,571108,,,,ChIJyZ7yV1JwrzsRxWce8XIV9tU,C,City,mysuru,Government Lower Primary School Mahadev Nagar,"Mahadevanagara, Mysuru, Karnataka 570017, India"
BELAGAVI,29010802701,2015-16,MARATHI LOWER PRIMARY SCHOOL BACHOLI,KHANAPUR,RAMGURWADI,BACHOLI,Karnataka,591302,,,,ChIJ3doRlYpjvzsRwXgILOizTNo,C,City,belagavi,Marathi Primary School Play Ground,"Ganeshpur, Belagavi, Karnataka 591108, India"
BELAGAVI,29010802702,2015-16,MARATHI LOWER PRIMARY SCHOOL SHIVAJINAGAR,KHANAPUR,RAMGURWADI,BACHOLI,Karnataka,591302,,,,ChIJ3doRlYpjvzsRwXgILOizTNo,C,City,belagavi,Marathi Primary School Play Ground,"Ganeshpur, Belagavi, Karnataka 591108, India"
BELAGAVI,29011105803,2015-16,SWAMI VIVEKANAND KANNADA LOWER PRIMARY SCHOOL KUNNAL,RAMDURG,HULKUND,KUNNAL,Karnataka,591114,,,,,,,,,
BELAGAVI,29011109616,2015-16,VEER SANGOLLI RAYANNA KANNADA LOWER PRIMARY SCHOOL BHAGYA NAGAR TURANUR,RAMDURG,TURANUR,TURANUR,Karnataka,591123,,,,,,,,,
BELAGAVI,29010214401,2015-16,K.B.S.No 6 Bailhongal,BAILHONGAL,BAILHONGAL,WARD NO 10,Karnataka,591102,,,,ChIJWWmOa9xRvzsRVbHqph-23bA,A,Street Address,bailhongal,B.S.Patil(Adv),"College Road, SH31, Bailhongal, Karnataka 591102, India"
BELAGAVI,29010215001,2015-16,U.B.S.Bailhongal,BAILHONGAL,BAILHONGAL,WARD NO 16,Karnataka,591102,,,,,,,,,
BELAGAVI,29010215801,2015-16,K.B.S.No 2 Bailhongal,BAILHONGAL,BAILHONGAL,WARD NO 24,Karnataka,591102,,,,ChIJWWmOa9xRvzsRVbHqph-23bA,A,Street Address,bailhongal,B.S.Patil(Adv),"College Road, SH31, Bailhongal, Karnataka 591102, India"
BELAGAVI,29011101303,2015-16,KANNADA HIGHER PRIMARY SCHOOL CHANNAPUR,RAMDURG,HANAMAPUR,CHANNAPUR,Karnataka,591123,,,,ChIJu44-XyphvzsRrG9eqYhO5g0,C,City,belagavi,Bapuji Kannada Higher Primary school,"Reveave Colony Kanbargi Road, Belagavi, Karnataka 590017, India"
BELAGAVI,29011101401,2015-16,KANNADA HIGHER PRIMARY BOYS SCHOOL SALHALLI,RAMDURG,SALAHALLI,CHANNATTI,Karnataka,591130,,,,,,,,,
BELAGAVI,29011101501,2015-16,KANNADA HIGHER PRIMARY SCHOOL CHIKKOP S. K.,RAMDURG,SUREBAN,CHIKKOP S. K.,Karnataka,591127,,,,ChIJu44-XyphvzsRrG9eqYhO5g0,C,City,belagavi,Bapuji Kannada Higher Primary school,"Reveave Colony Kanbargi Road, Belagavi, Karnataka 590017, India"
BELAGAVI,29011101502,2015-16,KANNADA HIGHER PRIMARY SCHOOL UDACHAMMANAGAR,RAMDURG,SUREBAN,CHIKKOP S. K.,Karnataka,591127,,,,ChIJu44-XyphvzsRrG9eqYhO5g0,C,City,belagavi,Bapuji Kannada Higher Primary school,"Reveave Colony Kanbargi Road, Belagavi, Karnataka 590017, India"
MYSURU,29260305711,2015-16,"GOVT HIGH SCHOOL, MADAPURA",H.D.KOTE,MADAPURA-HDK,MADAPURA,Karnataka,571125,,,,ChIJxdUQWaV7rzsR2k0pfcjBx-s,C,City,mysuru,Hootagalli Government High School,"K.R.S road, K.R.S road, K R S Road, Hootagalli, Mysuru, Karnataka 570018, India"
MYSURU,29260329401,2015-16,GOVT LOWER PRIMARY SCHOOL    KANDALIKE,H.D.KOTE,B.MATAKERE,KANDALEKE,Karnataka,571121,,,,ChIJyZ7yV1JwrzsRxWce8XIV9tU,C,City,mysuru,Government Lower Primary School Mahadev Nagar,"Mahadevanagara, Mysuru, Karnataka 570017, India"
MYSURU,29260310604,2015-16,GOVT LOWER PRIMARY SCHOOL  HOSAKERE SUNDA,H.D.KOTE,N.BEGUR,HOSAKERE SUNDA,Karnataka,571116,,,,ChIJyZ7yV1JwrzsRxWce8XIV9tU,C,City,mysuru,Government Lower Primary School Mahadev Nagar,"Mahadevanagara, Mysuru, Karnataka 570017, India"
MYSURU,29260623009,2015-16,"ST JOSEPH'S ENG HIGHER PRIMARY SCHOOL, K R NAGAR-WARD-17",KRISHNARAJANAGARA,K.R.NAGARA TOWN,K R NAGARA-WARD-17,Karnataka,571602,,,,ChIJLQZxPHBwrzsRX1V5MS7Ytdo,C,City,mysuru,St. Joseph's High School,"Nelson Mandela Road, Bannimantap, Mysuru, Karnataka 570015, India"
BELAGAVI,29010804104,2015-16,GOVT HIGH SCHOOL CHIKADINAKOP,KHANAPUR,HIREMUNOLLI,CHIKADINAKOP,Karnataka,591131,,,,ChIJdypeDi5hvzsRYqmFpAp6LyE,C,City,belagavi,"Government Primary and High School, Vantamuri, Belagavi, Karnataka","Halbhavi Camp, Mahantesh Nagar, Belagavi, Karnataka 590017, India"
BELAGAVI,29010804201,2015-16,KANNADA LOWER PRIMARY SCHOOL CHIKK-ANGROLI,KHANAPUR,ITAGI,CHIKK-ANGROLI,Karnataka,591106,,,,ChIJVVVVuX9mvzsR3AL3aCooZeg,C,City,belagavi,GGovt.Kannada Lower Primary School Room No.6,"Chidambar Nagar, Bhagya Nagar, Angol, Belagavi, Karnataka 590006, India"
BELAGAVI,29010804301,2015-16,MARATHI HIGHER PRIMARY SCHOOL DODDAHOSUR,KHANAPUR,DEVALATTI,DODDAHOSUR,Karnataka,591302,,,,,,,,,
