City,SCHOOL_CODE,AC_YEAR,Name,Locality,Street Address,VILLAGE_NAME,State,Pincode,Place Id,Place Id Filter,h_place_id,h_name,h_category,h_col,h_word
PALI,8201712205,2015-16,BAL SASNKAR VIDHYA MANDIR UPS,PALI,"KHODIYA BALAJI, GUPS PALI",NP PALI_WARD NO. 15,Rajasthan,306401,,,,,,,
PALI,8201712206,2015-16,MAHADEV VIDHYA MINDIR SEC.S. SHIV NAGAR MANDIYA ROAD PALI,PALI,"KHODIYA BALAJI, GUPS PALI",NP PALI_WARD NO. 15,Rajasthan,306401,,,,,,,
PALI,8201712209,2015-16,PUBLIC MODERN UPS 25 SHIV NAGAR MANDIA ROAD PALI,PALI,"KHODIYA BALAJI, GUPS PALI",NP PALI_WARD NO. 15,Rajasthan,306401,,,,,,,
PRATAPGARH (RAJ.),8330203406,2015-16,MA BADI KENDRA HALDU PADA,PEEPALKHOOT,"GUPS,VARDA",VARDA,Rajasthan,327027,,,,,,,
PRATAPGARH (RAJ.),8331404705,2015-16,MAA BADI KENDRA NAI ABADI ,ARNOD,"GPS, ATHINERA",JAJLI,Rajasthan,312615,,,,,,,
PRATAPGARH (RAJ.),8331404801,2015-16,G.P.S. ,ARNOD,"GPS, ATHINERA",UCHVANIYA,Rajasthan,312605,,,,,,,
PRATAPGARH (RAJ.),8331405001,2015-16,G.P.S. ,ARNOD,"GPS, ATHINERA",ATHINERA,Rajasthan,312615,,,,,,,
PRATAPGARH (RAJ.),8331405002,2015-16,G.P.S.NAI AABADI ,ARNOD,"GPS, ATHINERA",ATHINERA,Rajasthan,312615,,,,,,,
PRATAPGARH (RAJ.),8331319902,2015-16,G.P.S. TIMRUFALA,PRATAPGARH,"GUPS, BAMBORI",AMLI FLA,Rajasthan,312623,,,,,,,
PRATAPGARH (RAJ.),8331320701,2015-16,G.U.P.S. CHAMLAVDA,PRATAPGARH,"GUPS, BAMBORI",CHAMLAVADA,Rajasthan,312623,,,,,,,
PRATAPGARH (RAJ.),8331320902,2015-16,G.P.S. KHERMAGARI,PRATAPGARH,"GUPS, KAJLIKHEDA",BARDIYA,Rajasthan,312623,,,,,,,
PRATAPGARH (RAJ.),8331320903,2015-16,INDRA GANDHI SEC.SCHOOL ,PRATAPGARH,"GUPS, KAJLIKHEDA",BARDIYA,Rajasthan,312623,,,,,,,
RAJSAMAND,8250400901,2015-16,"SHIKSA KARMI PS,  ",KUMBHALGARH,"GAWAR, G.U.P.S.",BEED KI BHAGAL,Rajasthan,313325,,,,,,,
RAJSAMAND,8250401003,2015-16,"SHIKSA KARMI PS, PATELO KI BHAGAL",KUMBHALGARH,"CHAMBUA,KANKARWA G.U.P.S.",KAKARVA,Rajasthan,313325,,,,,,,
RAJSAMAND,8250401005,2015-16,"GOVT.UPS,  JELA PATA",KUMBHALGARH,"CHAMBUA,KANKARWA G.U.P.S.",KAKARVA,Rajasthan,313325,,,,,,,
RAJSAMAND,8250401006,2015-16,RONAK UPS ,KUMBHALGARH,"CHAMBUA,KANKARWA G.U.P.S.",KAKARVA,Rajasthan,313325,,,,,,,
PRATAPGARH (RAJ.),8330205002,2015-16,GPS GODA GHATI,PEEPALKHOOT,"GUPS,KARMODA",NARU KA KHERA,Rajasthan,327024,,,,,,,
PRATAPGARH (RAJ.),8330205101,2015-16,"GOVT SR.SEC.SCHOOL,",PEEPALKHOOT,"GUPS,PANTHOL",CHHARI,Rajasthan,327027,,ChIJheKR1ro6RDkRdkyBvNy_rG4,,,,,
